Es konnte eine 853.246 km lange Flugstrecke durch alle Außenposten ermittelt werden.
1. [200, 0] 
2. [210, 0] 180° 
3. [220, 0] 180° 
4. [230, 0] 180° 
5. [240, 0] 180° 
6. [250, 0] 180° 
7. [260, 0] 180° 
8. [270, 0] 180° 
9. [280, 0] 180° 
10. [290, 0] 180° 
11. [300, 0] 180° 
12. [310, 0] 180° 
13. [320, 0] 180° 
14. [330, 0] 180° 
15. [340, 0] 180° 
16. [350, 0] 180° 
17. [360, 0] 180° 
18. [370, 0] 180° 
19. [380, 0] 180° 
20. [390, 0] 180° 
21. [400, 0] 108.435° 
22. [405, 15] 143.13° 
23. [400, 30] 108.435° 
24. [390, 30] 180° 
25. [380, 30] 180° 
26. [370, 30] 180° 
27. [360, 30] 180° 
28. [350, 30] 180° 
29. [340, 30] 180° 
30. [330, 30] 180° 
31. [320, 30] 180° 
32. [310, 30] 180° 
33. [300, 30] 180° 
34. [290, 30] 180° 
35. [280, 30] 180° 
36. [270, 30] 180° 
37. [260, 30] 180° 
38. [250, 30] 180° 
39. [240, 30] 180° 
40. [230, 30] 180° 
41. [220, 30] 180° 
42. [210, 30] 180° 
43. [200, 30] 180° 
44. [190, 30] 180° 
45. [180, 30] 180° 
46. [170, 30] 180° 
47. [160, 30] 180° 
48. [150, 30] 180° 
49. [140, 30] 180° 
50. [130, 30] 180° 
51. [120, 30] 180° 
52. [110, 30] 180° 
53. [100, 30] 180° 
54. [90, 30] 180° 
55. [80, 30] 180° 
56. [70, 30] 180° 
57. [60, 30] 180° 
58. [50, 30] 180° 
59. [40, 30] 180° 
60. [30, 30] 180° 
61. [20, 30] 180° 
62. [10, 30] 180° 
63. [0, 30] 108.435° 
64. [-5, 15] 143.13° 
65. [0, 0] 108.435° 
66. [10, 0] 180° 
67. [20, 0] 180° 
68. [30, 0] 180° 
69. [40, 0] 180° 
70. [50, 0] 180° 
71. [60, 0] 180° 
72. [70, 0] 180° 
73. [80, 0] 180° 
74. [90, 0] 180° 
75. [100, 0] 180° 
76. [110, 0] 180° 
77. [120, 0] 180° 
78. [130, 0] 180° 
79. [140, 0] 180° 
80. [150, 0] 180° 
81. [160, 0] 180° 
82. [170, 0] 180° 
83. [180, 0] 180° 
84. [190, 0] 
