Es konnte eine 2183.66 km lange Flugstrecke durch alle Außenposten ermittelt werden.
1. [81.3473, 182.709] 
2. [117.557, 161.803] 168° 
3. [148.629, 133.826] 168° 
4. [173.205, 100] 168° 
5. [190.211, 61.8034] 168° 
6. [198.904, 20.9057] 168° 
7. [198.904, -20.9057] 168° 
8. [190.211, -61.8034] 168° 
9. [173.205, -100] 168° 
10. [148.629, -133.826] 168° 
11. [117.557, -161.803] 168° 
12. [81.3473, -182.709] 168° 
13. [41.5823, -195.63] 168° 
14. [0, -200] 168° 
15. [-41.5823, -195.63] 168° 
16. [-81.3473, -182.709] 168° 
17. [-117.557, -161.803] 168° 
18. [-148.629, -133.826] 168° 
19. [-173.205, -100] 168° 
20. [-190.211, -61.8034] 168° 
21. [-198.904, -20.9057] 168° 
22. [-198.904, 20.9057] 168° 
23. [-190.211, 61.8034] 168° 
24. [-173.205, 100] 168° 
25. [-148.629, 133.826] 168° 
26. [-117.557, 161.803] 168° 
27. [-81.3473, 182.709] 168° 
28. [-41.5823, 195.63] 168° 
29. [0, 200] 168° 
30. [41.5823, 195.63] 114.343° 
31. [61.0105, 137.032] 138.343° 
32. [88.1678, 121.353] 168° 
33. [111.472, 100.37] 168° 
34. [129.904, 75] 168° 
35. [142.658, 46.3525] 168° 
36. [149.178, 15.6793] 168° 
37. [149.178, -15.6793] 168° 
38. [142.658, -46.3525] 168° 
39. [129.904, -75] 168° 
40. [111.472, -100.37] 168° 
41. [88.1678, -121.353] 168° 
42. [61.0105, -137.032] 168° 
43. [31.1868, -146.722] 168° 
44. [0, -150] 168° 
45. [-31.1868, -146.722] 168° 
46. [-61.0105, -137.032] 168° 
47. [-88.1678, -121.353] 168° 
48. [-111.472, -100.37] 168° 
49. [-129.904, -75] 168° 
50. [-142.658, -46.3525] 168° 
51. [-149.178, -15.6793] 168° 
52. [-149.178, 15.6793] 168° 
53. [-142.658, 46.3525] 168° 
54. [-129.904, 75] 168° 
55. [-111.472, 100.37] 168° 
56. [-88.1678, 121.353] 168° 
57. [-61.0105, 137.032] 168° 
58. [-31.1868, 146.722] 168° 
59. [0, 150] 168° 
60. [31.1868, 146.722] 
