Es konnte eine Flugstrecke durch alle Außenposten ermittelt werden
[(-281.679, -187.718)] -> 
93.8377° [(-260.478, -196.956)] -> 
167.341° [(-247.341, -160.278)] -> 
159.448° [(-251.657, -195.19)] -> 
118.683° [(-234.711, -162.775)] -> 
175.505° [(-214.362, -193.265)] -> 
169.465° [(-278.41, -111.914)] -> 
166.023° [(-202.218, -178.736)] -> 
162.413° [(-284.548, -60.155)] -> 
179.217° [(-147.023, -166.22)] -> 
99.3472° [(-286.024, -55.9552)] -> 
155.638° [(-136.787, 79.5017)] -> 
96.5582° [(-235.099, 47.8103)] -> 
93.5381° [(-258.869, 166.669)] -> 
117.38° [(-223.04, 171.558)] -> 
164.697° [(-280.008, 11.6578)] -> 
99.642° [(-177.686, 158.266)] -> 
116.651° [(-95.6218, 77.4685)] -> 
135.211° [(-86.4576, 105.836)] -> 
167.807° [(-70.1835, 73.7383)] -> 
165.827° [(-82.1735, 119.466)] -> 
172.444° [(-81.3844, 32.3683)] -> 
176.138° [(-68.4462, 137.179)] -> 
98.7089° [(-74.6394, 25.5429)] -> 
153.059° [(25.0982, 35.2055)] -> 
166.128° [(-8.93692, 13.5439)] -> 
150.004° [(45.1237, 31.7402)] -> 
179.844° [(-31.5486, -55.2239)] -> 
91.7123° [(62.3667, 50.7139)] -> 
174.74° [(92.6399, 22.216)] -> 
112.49° [(63.5416, 55.1402)] -> 
110.564° [(106.033, 69.7549)] -> 
137.055° [(47.0405, 141.207)] -> 
175.076° [(116.703, 132.022)] -> 
172.746° [(51.4177, 146.418)] -> 
179.948° [(171.596, 135.521)] -> 
131.108° [(36.5998, 147.885)] -> 
107.477° [(141.513, 2.82114)] -> 
105.326° [(209.545, 94.2671)] -> 
160.496° [(253.535, 38.015)] -> 
136.294° [(239.64, 79.4911)] -> 
107.083° [(162.493, -84.574)] -> 
107.965° [(283.99, -101.866)] -> 
149.808° [(263.237, -144.293)] -> 
152.774° [(244.229, 119.193)] -> 
176.178° [(142.766, -118.682)] -> 
102.023° [(267.846, 127.627)] -> 
91.3935° [(38.6547, 188.609)] -> 
137.076° [(-41.263, -144.118)] -> 
112.363° [(-57.2662, -115.738)] -> 
168.726° [(-116.832, -191.381)] -> 
108.544° [(-58.6842, -76.9889)] -> 
135.942° [(30.3668, -167.573)] -> 
94.3247° [(27.7063, 169.284)] -> 
169.611° [(-104.782, 158.212)] -> 
93.4512° [(-49.4474, 173.211)] -> 
179.373° [(26.4511, -192.813)] -> 
169.061° [(-44.6699, 170.088)] -> 
177.076° [(90.5846, -164.218)] -> 
[(-30.9914, 186.807)] -> 
